ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2017,"2017",4844,188,"Paradise Valley, AZ","16000US0452930","paradise-valley-az",0.9246039320481008
0,"Owner Occupied",2017,"2017",41307,960.0000000000001,"Peoria, AZ","16000US0454050","peoria-az",0.7196717598480756
0,"Owner Occupied",2017,"2017",290778,2880,"Phoenix, AZ","16000US0455000","phoenix-az",0.5344967666748771
0,"Owner Occupied",2017,"2017",71092,1303,"Scottsdale, AZ","16000US0465000","scottsdale-az",0.6601112380103439
0,"Owner Occupied",2017,"2017",27596,808,"Tempe, AZ","16000US0473000","tempe-az",0.4011338033287303
0,"Owner Occupied",2017,"2017",899,177,"Tolleson, AZ","16000US0474190","tolleson-az",0.40422661870503596
0,"Owner Occupied",2017,"2017",1005444,6705,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az",0.6194796697074513
0,"Owner Occupied",2016,"2016",74881068,360470,"United States","01000US","united-states",0.6361150331368476
0,"Owner Occupied",2016,"2016",1531878,9913,"Arizona","04000US04","arizona",0.6255323267123167
0,"Owner Occupied",2016,"2016",884770,6176,"Maricopa County, AZ","05000US04013","maricopa-county-az",0.6035924793974786
0,"Owner Occupied",2016,"2016",6045,313,"Anthem, AZ","16000US0402430","anthem-az",0.7697695148350948
0,"Owner Occupied",2016,"2016",12980,476,"Avondale, AZ","16000US0404720","avondale-az",0.530510483508399
0,"Owner Occupied",2016,"2016",1970,169,"Cave Creek, AZ","16000US0411300","cave-creek-az",0.8520761245674741
0,"Owner Occupied",2016,"2016",43993,1003.9999999999999,"Glendale, AZ","16000US0427820","glendale-az",0.5404279887966194
0,"Owner Occupied",2016,"2016",887,149,"Guadalupe, AZ","16000US0430270","guadalupe-az",0.5317745803357314
0,"Owner Occupied",2016,"2016",1893,168,"Litchfield Park, AZ","16000US0441330","litchfield-park-az",0.842456608811749
0,"Owner Occupied",2016,"2016",144,31,"Maricopa Colony, AZ","16000US0444450","maricopa-colony-az",0.7236180904522613
0,"Owner Occupied",2016,"2016",5147,404,"New River, AZ","16000US0449360","new-river-az",0.8643157010915198
0,"Owner Occupied",2016,"2016",4989,235,"Paradise Valley, AZ","16000US0452930","paradise-valley-az",0.9295695919508105
0,"Owner Occupied",2016,"2016",39340,908.0000000000001,"Peoria, AZ","16000US0454050","peoria-az",0.7030398341583716
0,"Owner Occupied",2016,"2016",283740,2933,"Phoenix, AZ","16000US0455000","phoenix-az",0.5265482455814782
0,"Owner Occupied",2016,"2016",69204,1191,"Scottsdale, AZ","16000US0465000","scottsdale-az",0.6583082835508542
0,"Owner Occupied",2016,"2016",27451,733,"Tempe, AZ","16000US0473000","tempe-az",0.4094963899994033
0,"Owner Occupied",2016,"2016",864,162,"Tolleson, AZ","16000US0474190","tolleson-az",0.4056338028169014
0,"Owner Occupied",2016,"2016",979617,6827.999999999999,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az",0.6135486937890233
0,"Owner Occupied",2015,"2015",74712091,353420,"United States","01000US","united-states",0.6389673478521365
0,"Owner Occupied",2015,"2015",1513861,9091,"Arizona","04000US04","arizona",0.6275820699009872
0,"Owner Occupied",2015,"2015",875327,6038,"Maricopa County, AZ","05000US04013","maricopa-county-az",0.6068049064205785
0,"Owner Occupied",2015,"2015",5864,325,"Anthem, AZ","16000US0402430","anthem-az",0.7519876891510644
0,"Owner Occupied",2015,"2015",12674,592,"Avondale, AZ","16000US0404720","avondale-az",0.5389522027555707
0,"Owner Occupied",2015,"2015",1834,170,"Cave Creek, AZ","16000US0411300","cave-creek-az",0.8302399275690358
