Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Yoy (tooltip),Median Sale Price Yoy,Median Sale Price,
208,2/2/2022 14:20,2020,5/4/2020,7/26/2020,3.86%,0.038616951,"291,994.90",
213,2/2/2022 14:20,2021,5/10/2021,8/1/2021,21.06%,0.21063362,"356,283.30",
215,2/2/2022 14:20,2020,5/11/2020,8/2/2020,4.52%,0.045248724,"294,294.90",
220,2/2/2022 14:20,2021,5/17/2021,8/8/2021,20.30%,0.202955981,"357,031.20",
222,2/2/2022 14:20,2020,5/18/2020,8/9/2020,5.34%,0.053379728,"296,794.90",
227,2/2/2022 14:20,2021,5/24/2021,8/15/2021,19.36%,0.193635576,"357,447.90",
229,2/2/2022 14:20,2020,5/25/2020,8/16/2020,6.21%,0.062058808,"299,461.50",
234,2/2/2022 14:20,2021,5/31/2021,8/22/2021,18.79%,0.187875835,"358,197.90",
236,2/2/2022 14:20,2020,6/1/2020,8/23/2020,6.98%,0.069764134,"301,544.90",
241,2/2/2022 14:20,2021,6/7/2021,8/29/2021,17.93%,0.179255857,"357,622.90",
243,2/2/2022 14:20,2020,6/8/2020,8/30/2020,7.86%,0.07856415,"303,261.50",
248,2/2/2022 14:20,2021,6/14/2021,9/5/2021,17.17%,0.171670248,"357,372.90",
250,2/2/2022 14:20,2020,6/15/2020,9/6/2020,8.72%,0.087228435,"305,011.50",
255,2/2/2022 14:20,2021,6/21/2021,9/12/2021,16.47%,0.164734938,"356,956.20",
257,2/2/2022 14:20,2020,6/22/2020,9/13/2020,9.57%,0.09568191,"306,469.90",
262,2/2/2022 14:20,2021,6/28/2021,9/19/2021,15.64%,0.156406982,"356,331.20",
264,2/2/2022 14:20,2020,6/29/2020,9/20/2020,10.50%,0.104964976,"308,136.50",
269,2/2/2022 14:20,2021,7/5/2021,9/26/2021,15.08%,0.150820162,"355,497.90",
271,2/2/2022 14:20,2020,7/6/2020,9/27/2020,11.11%,0.111138968,"308,908.30",
276,2/2/2022 14:20,2021,7/12/2021,10/3/2021,14.43%,0.144275681,"354,906.60",
278,2/2/2022 14:20,2020,7/13/2020,10/4/2020,11.73%,0.117309897,"310,158.30",
283,2/2/2022 14:20,2021,7/19/2021,10/10/2021,13.93%,0.139257686,"354,073.20",
285,2/2/2022 14:20,2020,7/20/2020,10/11/2020,12.13%,0.121279139,"310,792.90",
290,2/2/2022 14:20,2021,7/26/2021,10/17/2021,13.59%,0.135913707,"353,989.90",
292,2/2/2022 14:20,2020,7/27/2020,10/18/2020,12.60%,0.126007866,"311,634.50",
297,2/2/2022 14:20,2021,8/2/2021,10/24/2021,13.36%,0.133640129,"353,989.90",
299,2/2/2022 14:20,2020,8/3/2020,10/25/2020,13.00%,0.129967454,"312,259.50",
304,2/2/2022 14:20,2021,8/9/2021,10/31/2021,13.05%,0.130536958,"353,492",
306,2/2/2022 14:20,2020,8/10/2020,11/1/2020,13.31%,0.133149595,"312,676.20",
311,2/2/2022 14:20,2021,8/16/2021,11/7/2021,13.10%,0.130965384,"353,908.70",
313,2/2/2022 14:20,2020,8/17/2020,11/8/2020,13.54%,0.135427488,"312,926.20",
